Dataset: ;Last updated: ;Time frequency;Unit of measure;International classification of crime for statistical purposes (ICCS);Region;Year;Value;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Ravensburg;2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Ravensburg;2009;149;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Ravensburg;2010.0;108.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Sigmaringen;2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Sigmaringen;2009;49;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Sigmaringen;2010.0;65.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Bayern;2008;6097;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Bayern;2009;4522;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Bayern;2010.0;4470.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Ingolstadt, Kreisfreie Stadt;2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Ingolstadt, Kreisfreie Stadt;2009;115;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Ingolstadt, Kreisfreie Stadt;2010.0;86.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;München, Kreisfreie Stadt;2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;München, Kreisfreie Stadt;2009;954;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;München, Kreisfreie Stadt;2010.0;798.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Rosenheim, Kreisfreie Stadt;2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Rosenheim, Kreisfreie Stadt;2009;36;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Rosenheim, Kreisfreie Stadt;2010.0;21.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Altötting;2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Altötting;2009;31;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Altötting;2010.0;19.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Berchtesgadener Land;2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Berchtesgadener Land;2009;25;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Berchtesgadener Land;2010.0;33.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Bad Tölz-Wolfratshausen;2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Bad Tölz-Wolfratshausen;2009;27;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Bad Tölz-Wolfratshausen;2010.0;18.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Dachau;2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Dachau;2009;61;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Dachau;2010.0;53.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Ebersberg;2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Ebersberg;2009;60;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Ebersberg;2010.0;61.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Eichstätt;2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Eichstätt;2009;44;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Eichstätt;2010.0;40.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Erding;2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Erding;2009;34;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Erding;2010.0;47.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Freising;2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Freising;2009;59;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Freising;2010.0;83.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Fürstenfeldbruck;2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Fürstenfeldbruck;2009;72;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Fürstenfeldbruck;2010.0;141.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Garmisch-Partenkirchen;2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Garmisch-Partenkirchen;2009;34;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Garmisch-Partenkirchen;2010.0;13.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Landsberg am Lech;2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Landsberg am Lech;2009;26;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Landsberg am Lech;2010.0;32.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Miesbach;2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Miesbach;2009;26;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Miesbach;2010.0;15.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Mühldorf am Inn;2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Mühldorf am Inn;2009;44;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Mühldorf am Inn;2010.0;44.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;München, Landkreis;2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;München, Landkreis;2009;197;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;München, Landkreis;2010.0;176.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Neuburg-Schrobenhausen;2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Neuburg-Schrobenhausen;2009;33;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Neuburg-Schrobenhausen;2010.0;40.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Pfaffenhofen an der Ilm;2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Pfaffenhofen an der Ilm;2009;54;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Pfaffenhofen an der Ilm;2010.0;36.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Rosenheim, Landkreis;2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Rosenheim, Landkreis;2009;69;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Rosenheim, Landkreis;2010.0;45.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Starnberg;2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Starnberg;2009;61;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Starnberg;2010.0;69.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Traunstein;2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Traunstein;2009;38;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Traunstein;2010.0;35.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Weilheim-Schongau;2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Weilheim-Schongau;2009;32;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Weilheim-Schongau;2010.0;30.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Landshut, Kreisfreie Stadt;2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Landshut, Kreisfreie Stadt;2009;38;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Landshut, Kreisfreie Stadt;2010.0;50.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Passau, Kreisfreie Stadt;2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Passau, Kreisfreie Stadt;2009;23;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Passau, Kreisfreie Stadt;2010.0;30.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Straubing, Kreisfreie Stadt;2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Straubing, Kreisfreie Stadt;2009;43;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Straubing, Kreisfreie Stadt;2010.0;28.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Deggendorf;2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Deggendorf;2009;37;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Deggendorf;2010.0;35.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Freyung-Grafenau;2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Freyung-Grafenau;2009;4;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Freyung-Grafenau;2010.0;12.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Kelheim;2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Kelheim;2009;58;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Kelheim;2010.0;40.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Landshut, Landkreis;2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Landshut, Landkreis;2009;35;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Landshut, Landkreis;2010.0;41.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Passau, Landkreis;2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Passau, Landkreis;2009;54;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Passau, Landkreis;2010.0;47.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Regen;2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Regen;2009;19;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Regen;2010.0;14.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Rottal-Inn;2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Rottal-Inn;2009;29;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Rottal-Inn;2010.0;44.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Straubing-Bogen;2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Straubing-Bogen;2009;28;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Straubing-Bogen;2010.0;24.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Dingolfing-Landau;2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Dingolfing-Landau;2009;17;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Dingolfing-Landau;2010.0;26.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Amberg, Kreisfreie Stadt;2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Amberg, Kreisfreie Stadt;2009;9;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Amberg, Kreisfreie Stadt;2010.0;9.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Regensburg, Kreisfreie Stadt;2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Regensburg, Kreisfreie Stadt;2009;99;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Regensburg, Kreisfreie Stadt;2010.0;128.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Weiden in der Oberpfalz, Kreisfreie Stadt;2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Weiden in der Oberpfalz, Kreisfreie Stadt;2009;18;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Weiden in der Oberpfalz, Kreisfreie Stadt;2010.0;22.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Amberg-Sulzbach;2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Amberg-Sulzbach;2009;17;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Amberg-Sulzbach;2010.0;11.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Cham;2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Cham;2009;22;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Cham;2010.0;20.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Neumarkt in der Oberpfalz;2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Neumarkt in der Oberpfalz;2009;36;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Neumarkt in der Oberpfalz;2010.0;32.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Neustadt an der Waldnaab;2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Neustadt an der Waldnaab;2009;18;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Neustadt an der Waldnaab;2010.0;10.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Regensburg, Landkreis;2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Regensburg, Landkreis;2009;52;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Regensburg, Landkreis;2010.0;48.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Schwandorf;2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Schwandorf;2009;29;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Schwandorf;2010.0;27.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Tirschenreuth;2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Tirschenreuth;2009;25;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Tirschenreuth;2010.0;23.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Bamberg, Kreisfreie Stadt;2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Bamberg, Kreisfreie Stadt;2009;24;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Bamberg, Kreisfreie Stadt;2010.0;36.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Bayreuth, Kreisfreie Stadt;2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Bayreuth, Kreisfreie Stadt;2009;31;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Bayreuth, Kreisfreie Stadt;2010.0;33.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Coburg, Kreisfreie Stadt;2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Coburg, Kreisfreie Stadt;2009;15;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Coburg, Kreisfreie Stadt;2010.0;12.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Hof, Kreisfreie Stadt;2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Hof, Kreisfreie Stadt;2009;20;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Hof, Kreisfreie Stadt;2010.0;43.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Bamberg, Landkreis;2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Burglary of private residential premises;Bamberg, Landkreis;2009;31;
