Dataset: ;Last updated: ;Time frequency;Land use;Unit of measure;Region;Year;Value;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Frankfurt am Main, Kreisfreie Stadt;2022;248;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Offenbach am Main, Kreisfreie Stadt;2022;45;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Wiesbaden, Kreisfreie Stadt;2022;204;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Bergstraße;2022;720;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Darmstadt-Dieburg;2022;659;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Groß-Gerau;2022;453;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Hochtaunuskreis;2022;482;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Main-Kinzig-Kreis;2022;1398;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Main-Taunus-Kreis;2022;222;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Odenwaldkreis;2022;624;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Offenbach, Landkreis;2022;356;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Rheingau-Taunus-Kreis;2022;811;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Wetteraukreis;2022;1101;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Gießen;2022;5382;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Gießen, Landkreis;2022;855;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Lahn-Dill-Kreis;2022;1067;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Limburg-Weilburg;2022;738;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Marburg-Biedenkopf;2022;1263;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Vogelsbergkreis;2022;1459;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Kassel;2022;8288;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Kassel, Kreisfreie Stadt;2022;107;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Fulda;2022;1380;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Hersfeld-Rotenburg;2022;1097;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Kassel, Landkreis;2022;1293;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Schwalm-Eder-Kreis;2022;1538;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Waldeck-Frankenberg;2022;1848;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Werra-Meißner-Kreis;2022;1025;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Mecklenburg-Vorpommern;2022;23293;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Mecklenburg-Vorpommern;2022;23293;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Rostock, Kreisfreie Stadt;2022;181;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Schwerin, Kreisfreie Stadt;2022;131;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Mecklenburgische Seenplatte;2022;5496;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Landkreis Rostock;2022;3431;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Vorpommern-Rügen;2022;3214;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Nordwestmecklenburg;2022;2127;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Vorpommern-Greifswald;2022;3946;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Ludwigslust-Parchim;2022;4767;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Niedersachsen;2022;47710;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Braunschweig;2022;8116;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Braunschweig, Kreisfreie Stadt;2022;193;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Salzgitter, Kreisfreie Stadt;2022;224;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Wolfsburg, Kreisfreie Stadt;2022;205;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Gifhorn;2022;1568;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Göttingen (NUTS 2013);2022;:;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Goslar;2022;967;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Helmstedt;2022;676;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Northeim;2022;1269;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Osterode am Harz (NUTS 2013);2022;:;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Peine;2022;537;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Wolfenbüttel;2022;724;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Göttingen;2022;1753;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Hannover;2022;9065;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Diepholz;2022;1991;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Hameln-Pyrmont;2022;798;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Hildesheim;2022;1208;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Holzminden;2022;694;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Nienburg (Weser);2022;1401;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Schaumburg;2022;676;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Region Hannover;2022;2297;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Lüneburg;2022;15542;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Celle;2022;1551;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Cuxhaven;2022;2059;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Harburg;2022;1249;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Lüchow-Dannenberg;2022;1227;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Lüneburg, Landkreis;2022;1328;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Osterholz;2022;653;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Rotenburg (Wümme);2022;2075;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Heidekreis;2022;1881;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Stade;2022;1267;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Uelzen;2022;1463;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Verden;2022;789;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Weser-Ems;2022;14987;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Delmenhorst, Kreisfreie Stadt;2022;62;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Emden, Kreisfreie Stadt;2022;112;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Oldenburg (Oldenburg), Kreisfreie Stadt;2022;103;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Osnabrück, Kreisfreie Stadt;2022;120;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Wilhelmshaven, Kreisfreie Stadt;2022;107;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Ammerland;2022;731;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Aurich;2022;1287;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Cloppenburg;2022;1420;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Emsland;2022;2884;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Friesland (DE);2022;610;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Grafschaft Bentheim;2022;982;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Leer;2022;1086;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Oldenburg, Landkreis;2022;1065;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Osnabrück, Landkreis;2022;2122;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Vechta;2022;814;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Wesermarsch;2022;825;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Wittmund;2022;657;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Nordrhein-Westfalen;2022;34110;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Düsseldorf;2022;5291;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Düsseldorf, Kreisfreie Stadt;2022;217;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Duisburg, Kreisfreie Stadt;2022;233;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Essen, Kreisfreie Stadt;2022;210;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Krefeld, Kreisfreie Stadt;2022;138;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Mönchengladbach, Kreisfreie Stadt;2022;170;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Mülheim an der Ruhr, Kreisfreie Stadt;2022;91;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Oberhausen, Kreisfreie Stadt;2022;77;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Remscheid, Kreisfreie Stadt;2022;75;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Solingen, Kreisfreie Stadt;2022;90;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Wuppertal, Kreisfreie Stadt;2022;168;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Kleve;2022;1233;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Mettmann;2022;407;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Rhein-Kreis Neuss;2022;576;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Viersen;2022;563;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Wesel;2022;1043;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Köln;2022;7365;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Bonn, Kreisfreie Stadt;2022;141;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Köln, Kreisfreie Stadt;2022;405;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Leverkusen, Kreisfreie Stadt;2022;79;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Düren;2022;942;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Rhein-Erft-Kreis;2022;705;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Euskirchen;2022;1249;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Heinsberg;2022;628;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Oberbergischer Kreis;2022;919;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Rheinisch-Bergischer Kreis;2022;437;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Rhein-Sieg-Kreis;2022;1153;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Städteregion Aachen;2022;707;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Münster;2022;6918;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Bottrop, Kreisfreie Stadt;2022;101;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Gelsenkirchen, Kreisfreie Stadt;2022;105;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Münster, Kreisfreie Stadt;2022;303;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Borken;2022;1421;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Coesfeld;2022;1112;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Recklinghausen;2022;761;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Steinfurt;2022;1796;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Warendorf;2022;1319;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Detmold;2022;6524;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Bielefeld, Kreisfreie Stadt;2022;259;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Gütersloh;2022;969;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Herford;2022;450;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Höxter;2022;1201;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Lippe;2022;1246;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Minden-Lübbecke;2022;1152;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Paderborn;2022;1247;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Arnsberg;2022;8012;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Bochum, Kreisfreie Stadt;2022;146;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Dortmund, Kreisfreie Stadt;2022;281;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Hagen, Kreisfreie Stadt;2022;160;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Hamm, Kreisfreie Stadt;2022;226;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Herne, Kreisfreie Stadt;2022;51;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Ennepe-Ruhr-Kreis;2022;410;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Hochsauerlandkreis;2022;1960;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Märkischer Kreis;2022;1061;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Olpe;2022;712;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Siegen-Wittgenstein;2022;1133;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Soest;2022;1329;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Unna;2022;543;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Rheinland-Pfalz;2022;19853;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Koblenz;2022;8075;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Koblenz, Kreisfreie Stadt;2022;105;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Ahrweiler;2022;787;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Altenkirchen (Westerwald);2022;642;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Bad Kreuznach;2022;864;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Birkenfeld;2022;777;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Cochem-Zell (NUTS 2013);2022;:;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Mayen-Koblenz;2022;818;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Neuwied;2022;627;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Rhein-Hunsrück-Kreis (NUTS 2013);2022;:;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Rhein-Lahn-Kreis;2022;782;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Westerwaldkreis;2022;989;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Cochem-Zell;2022;720;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Rhein-Hunsrück-Kreis;2022;964;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Trier;2022;4926;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Trier, Kreisfreie Stadt;2022;117;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Bernkastel-Wittlich;2022;1168;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Eifelkreis Bitburg-Prüm;2022;1627;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Vulkaneifel;2022;912;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Trier-Saarburg;2022;1102;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Rheinhessen-Pfalz;2022;6852;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Frankenthal (Pfalz), Kreisfreie Stadt;2022;44;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Kaiserslautern, Kreisfreie Stadt;2022;140;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Landau in der Pfalz, Kreisfreie Stadt;2022;83;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Ludwigshafen am Rhein, Kreisfreie Stadt;2022;77;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Mainz, Kreisfreie Stadt;2022;98;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Neustadt an der Weinstraße, Kreisfreie Stadt;2022;117;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Pirmasens, Kreisfreie Stadt;2022;61;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Speyer, Kreisfreie Stadt;2022;43;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Worms, Kreisfreie Stadt;2022;109;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Zweibrücken, Kreisfreie Stadt;2022;71;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Alzey-Worms;2022;588;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Bad Dürkheim;2022;595;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Donnersbergkreis;2022;645;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Germersheim;2022;463;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Kaiserslautern, Landkreis;2022;640;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Kusel;2022;574;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Südliche Weinstraße;2022;640;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Rhein-Pfalz-Kreis;2022;305;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Mainz-Bingen;2022;605;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Südwestpfalz;2022;954;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Saarland;2022;2571;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Saarland;2022;2571;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Regionalverband Saarbrücken;2022;411;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Merzig-Wadern;2022;557;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Neunkirchen;2022;250;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Saarlouis;2022;459;
