Dataset: ;Last updated: ;Time frequency;Land use;Unit of measure;Region;Year;Value;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Alb-Donau-Kreis;2022;1359;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Biberach;2022;1409;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Bodenseekreis;2022;665;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Ravensburg;2022;1632;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Sigmaringen;2022;1204;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Bayern;2022;70543;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Oberbayern;2022;17528;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Ingolstadt, Kreisfreie Stadt;2022;133;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;München, Kreisfreie Stadt;2022;311;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Rosenheim, Kreisfreie Stadt;2022;37;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Altötting;2022;569;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Berchtesgadener Land;2022;840;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Bad Tölz-Wolfratshausen;2022;1111;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Dachau;2022;579;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Ebersberg;2022;549;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Eichstätt;2022;1214;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Erding;2022;871;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Freising;2022;800;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Fürstenfeldbruck;2022;435;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Garmisch-Partenkirchen;2022;1012;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Landsberg am Lech;2022;804;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Miesbach;2022;866;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Mühldorf am Inn;2022;805;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;München, Landkreis;2022;664;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Neuburg-Schrobenhausen;2022;740;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Pfaffenhofen an der Ilm;2022;761;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Rosenheim, Landkreis;2022;1439;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Starnberg;2022;488;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Traunstein;2022;1534;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Weilheim-Schongau;2022;966;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Niederbayern;2022;10328;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Landshut, Kreisfreie Stadt;2022;66;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Passau, Kreisfreie Stadt;2022;70;
