0;1;2
NUTS;City;Average Concentration
AT22;Graz;20.93555283990998
AT33;Innsbruck;14.841072433812185
AT21;Klagenfurt;16.81105189967626
AT31;Linz;17.952127744024313
AT32;Salzburg;13.405373668523472
BE32;Charleroi;15.773411485994917
BE33;Liège;14.476397262031943
BE35;Namur;16.80771435715037
BG41;Blagoevgrad;29.314234489135657
BG34;Burgas;21.46250351272859
BG33;Dobrich;25.64843860559247
BG42;Haskovo;34.50686318682528
BG42;Pazardzhik;34.50686318682528
BG41;Pernik;29.314234489135657
BG31;Pleven;32.797878783872974
BG42;Plovdiv;34.50686318682528
BG32;Ruse;31.794521493994402
BG33;Shumen;25.64843860559247
BG34;Sliven;21.46250351272859
BG41;Sofia;29.314234489135657
BG34;Stara Zagora;21.46250351272859
BG33;Varna;25.64843860559247
BG32;Veliko Tarnovo;31.794521493994402
BG31;Vidin;32.797878783872974
BG31;Vratsa;32.797878783872974
CH03;Basel;14.215779771674162
CH02;Bern;14.3119345595765
CH01;Lausanne;12.271381690204914
CH07;Lugano;16.035262428005453
CH05;St. Gallen;13.244848903743172
CH04;Winterthur;11.347027318633884
CZ06;Brno;19.250479574361876
CZ05;Hradec Králové;17.234646895181445
CZ06;Jihlava;19.250479574361876
CZ04;Karlovy Vary;20.13107302956364
CZ08;Karviná;21.733160508141815
CZ02;Kladno;19.146522234891677
CZ05;Liberec;17.234646895181445
CZ04;Most;20.13107302956364
CZ07;Olomouc;19.933430861083234
CZ08;Ostrava;21.733160508141815
CZ05;Pardubice;17.234646895181445
CZ07;Zlín;19.933430861083234
CZ04;Ústí nad Labem;20.13107302956364
DEA2;Aachen;13.779658419611577
DE27;Augsburg;15.309237245783828
DE24;Bamberg;15.231560691048285
DE24;Bayreuth;15.231560691048285
DE30;Berlin;18.921961392152323
DE40;Brandenburg an der Havel;13.73945857498645
DE50;Bremen;16.114138197939695
DE50;Bremerhaven;16.114138197939695
DED4;Chemnitz;14.31791385433954
DE71;Darmstadt;15.655165299754634
DEA5;Dortmund;17.401530422952085
DED2;Dresden;14.757876501229998
DEA1;Duisburg;17.88814037915491
DEG0;Erfurt;14.186839021231222
DEA1;Essen;17.88814037915491
DEF0;Flensburg;15.626212689225984
DE40;Frankfurt (Oder);13.73945857498645
DE13;Freiburg im Breisgau;12.536928655744571
DE14;Friedrichshafen;15.23106822215827
DE73;Fulda;16.24765048187014
DE25;Fürth;16.155190923778935
DEA3;Gelsenkirchen;23.39871389787887
DE72;Gießen;14.533547396397934
DED2;Görlitz;14.757876501229998
DE12;Heidelberg;15.149430413846563
DE11;Heilbronn;17.47677772662721
DE92;Hildesheim;14.410695696168297
DE21;Ingolstadt;15.329359849587659
DEG0;Jena;14.186839021231222
DEB3;Kaiserslautern;16.707322505524182
DE12;Karlsruhe;15.149430413846563
DE73;Kassel;16.24765048187014
DEF0;Kiel;15.626212689225984
DEB1;Koblenz;15.15440725249033
DEA1;Krefeld;17.88814037915491
DE22;Landshut;17.065093628535312
DED5;Leipzig;15.546191982930353
DEA2;Leverkusen;13.779658419611577
DE11;Ludwigsburg;17.47677772662721
DEB3;Ludwigshafen am Rhein;16.707322505524182
DEF0;Lübeck;15.626212689225984
DE93;Lüneburg;12.219584749837955
DEE0;Magdeburg;16.94743862600658
DEB3;Mainz;16.707322505524182
DE12;Mannheim;15.149430413846563
DE72;Marburg;14.533547396397934
DEA1;Mönchengladbach;17.88814037915491
DE22;München;17.065093628535312
DE80;Neubrandenburg;16.017851366079324
DE22;Nürnberg;17.065093628535312
DEA1;Oberhausen;17.88814037915491
DE71;Offenbach am Main;15.655165299754634
DE94;Osnabrück;14.841527381320352
DE22;Passau;17.065093628535312
DE12;Pforzheim;15.149430413846563
DED4;Plauen;14.31791385433954
DE40;Potsdam;13.73945857498645
DE23;Regensburg;17.653149494516338
DE14;Reutlingen;15.23106822215827
DE80;Rostock;16.017851366079324
DEC0;Saarbrücken;13.681933127193808
DE26;Schweinfurt;14.937360189669779
DE80;Schwerin;16.017851366079324
DEA1;Solingen;17.88814037915491
DEB3;Speyer;16.707322505524182
DE80;Stralsund;16.017851366079324
DE11;Stuttgart;17.47677772662721
DEB2;Trier;14.749502290959287
DE14;Tübingen;15.23106822215827
DE14;Ulm;15.23106822215827
DEG0;Weimar;14.186839021231222
DE72;Wetzlar;14.533547396397934
DE71;Wiesbaden;15.655165299754634
DE91;Wolfsburg;13.281127081874622
DEA1;Wuppertal;17.88814037915491
DE26;Würzburg;14.937360189669779
DED4;Zwickau;14.31791385433954
DK03;Odense;16.43416526327731
EE00;Narva;11.424195028836255
EE00;Tallinn;11.424195028836255
EE00;Tartu;11.424195028836255
ES11;A Coruña;20.589417842419138
ES42;Albacete;25.96665228137628
ES30;Alcalá de Henares;17.71448800073559
ES30;Alcobendas;17.71448800073559
ES70;Arrecife;41.073592118806054
ES12;Avilés;20.11918117157231
ES43;Badajoz;13.23650442307521
ES51;Barcelona;21.932915203460045
ES21;Bilbao;16.451223281580635
ES41;Burgos;14.75130628553865
ES62;Cartagena;24.597170252572496
ES42;Ciudad Real;25.96665228137628
ES30;Coslada;17.71448800073559
ES43;Cáceres;13.23650442307521
ES61;Cádiz;23.722679191536578
ES52;Elda;13.013581208950239
ES11;Ferrol;20.589417842419138
ES52;Gandia;13.013581208950239
ES30;Getafe;17.71448800073559
ES51;Girona;21.932915203460045
ES61;Granada;23.722679191536578
ES51;Granollers;21.932915203460045
ES42;Guadalajara;25.96665228137628
ES61;Jaén;23.722679191536578
ES70;Las Palmas;41.073592118806054
