NUTS;City;Average Concentration;Pollutant;Number of Records;Number of Cities;UnitOfMeasurement
DE12;Pforzheim;15.149430413846563;PM10;45506;45750;µg/m3
DED4;Plauen;14.31791385433954;PM10;27234;27816;µg/m3
DE40;Potsdam;13.698997351506481;PM10;88466;88572;µg/m3
DE23;Regensburg;17.653149494516338;PM10;8693;8784;µg/m3
DE14;Reutlingen;15.23106822215827;PM10;54749;54900;µg/m3
DE80;Rostock;16.017851366079324;PM10;52829;53070;µg/m3
DEC0;Saarbrucken;13.681933127193808;PM10;26320;26352;µg/m3
DE26;Schweinfurt;14.937360189669779;PM10;26186;26352;µg/m3
DE80;Schwerin;16.017851366079324;PM10;52829;53070;µg/m3
DEA1;Solingen;17.617270938057644;PM10;141562;151156;µg/m3
DEB3;Speyer;16.707322505524182;PM10;50585;53604;µg/m3
DE80;Stralsund;16.017851366079324;PM10;52829;53070;µg/m3
DE11;Stuttgart;17.47677772662721;PM10;46093;46482;µg/m3
DEB2;Trier;14.749502290959287;PM10;8621;8784;µg/m3
DE14;Tubingen;15.23106822215827;PM10;54749;54900;µg/m3
DE14;Ulm;15.23106822215827;PM10;54749;54900;µg/m3
DEG0;Weimar;14.186839021231222;PM10;61313;61488;µg/m3
DE72;Wetzlar;14.533547396397934;PM10;35121;35258;µg/m3
DE71;Wiesbaden;15.805315662209892;PM10;105634;106378;µg/m3
DE91;Wolfsburg;13.586477812263206;PM10;52345;52704;µg/m3
DEA1;Wuppertal;17.617270938057644;PM10;141562;151156;µg/m3
DE26;Wurzburg;14.937360189669779;PM10;26186;26352;µg/m3
DED4;Zwickau;14.31791385433954;PM10;27234;27816;µg/m3
DK01;Kobenhavn;22.514155298996137;PM10;9137;9882;µg/m3
DK03;Odense;16.43416526327731;PM10;357;366;µg/m3
DK04;Arhus;16.28006817855113;PM10;352;366;µg/m3
EE00;Narva;11.424195028836255;PM10;2174;2562;µg/m3
EE00;Tallinn;11.424195028836255;PM10;2174;2562;µg/m3
EE00;Tartu;11.424195028836255;PM10;2174;2562;µg/m3
ES11;A Coruna;19.533113252901437;PM10;59221;61488;µg/m3
ES42;Albacete;24.910899246704332;PM10;33984;35136;µg/m3
ES30;Alcala de Henares;17.930776579137444;PM10;171676;175559;µg/m3
ES30;Alcobendas;17.930776579137444;PM10;171676;175559;µg/m3
ES61;Almeria;24.039065079185153;PM10;97998;109424;µg/m3
ES70;Arrecife;28.36362598470145;PM10;35036;52703;µg/m3
ES12;Aviles;21.073559670781894;PM10;42768;43920;µg/m3
ES43;Badajoz;13.23650442307521;PM10;452;732;µg/m3
ES51;Barcelona;21.891444601177785;PM10;39636;43524;µg/m3
ES21;Bilbao;16.451223281580635;PM10;42059;44286;µg/m3
ES41;Burgos;14.953793144418702;PM10;84165;87840;µg/m3
ES62;Cartagena;24.597170252572496;PM10;8552;8784;µg/m3
ES42;Ciudad Real;24.910899246704332;PM10;33984;35136;µg/m3
ES30;Coslada;17.930776579137444;PM10;171676;175559;µg/m3
ES43;Caceres;13.23650442307521;PM10;452;732;µg/m3
ES61;Cadiz;24.039065079185153;PM10;97998;109424;µg/m3
ES52;Elda;12.980299433297596;PM10;52232;53802;µg/m3
ES11;Ferrol;19.533113252901437;PM10;59221;61488;µg/m3
ES52;Gandia;12.980299433297596;PM10;52232;53802;µg/m3
ES30;Getafe;17.930776579137444;PM10;171676;175559;µg/m3
ES51;Girona;21.891444601177785;PM10;39636;43524;µg/m3
ES61;Granada;24.039065079185153;PM10;97998;109424;µg/m3
ES51;Granollers;21.891444601177785;PM10;39636;43524;µg/m3
ES42;Guadalajara;24.910899246704332;PM10;33984;35136;µg/m3
ES61;Jaen;24.039065079185153;PM10;97998;109424;µg/m3
ES70;Las Palmas;28.36362598470145;PM10;35036;52703;µg/m3
ES30;Leganes;17.930776579137444;PM10;171676;175559;µg/m3
ES41;Leon;14.953793144418702;PM10;84165;87840;µg/m3
ES51;Lleida;21.891444601177785;PM10;39636;43524;µg/m3
ES23;Logrono;20.690154238375097;PM10;8623;8784;µg/m3
ES11;Lugo;19.533113252901437;PM10;59221;61488;µg/m3
ES30;Madrid;17.930776579137444;PM10;171676;175559;µg/m3
ES30;Majadahonda;17.930776579137444;PM10;171676;175559;µg/m3
ES51;Manresa;21.891444601177785;PM10;39636;43524;µg/m3
ES61;Marbella;24.039065079185153;PM10;97998;109424;µg/m3
ES51;Mataro;21.891444601177785;PM10;39636;43524;µg/m3
ES61;Malaga;24.039065079185153;PM10;97998;109424;µg/m3
ES11;Ourense;19.533113252901437;PM10;59221;61488;µg/m3
ES12;Oviedo;21.073559670781894;PM10;42768;43920;µg/m3
ES41;Palencia;14.953793144418702;PM10;84165;87840;µg/m3
ES53;Palma de Mallorca;17.420087591240875;PM10;17125;17568;µg/m3
ES11;Pontevedra;19.533113252901437;PM10;59221;61488;µg/m3
ES41;Salamanca;14.953793144418702;PM10;84165;87840;µg/m3
ES70;Santa Cruz de Tenerife;28.36362598470145;PM10;35036;52703;µg/m3
ES11;Santiago de Compostela;19.533113252901437;PM10;59221;61488;µg/m3
ES61;Sevilla;24.039065079185153;PM10;97998;109424;µg/m3
ES42;Talavera de la Reina;24.910899246704332;PM10;33984;35136;µg/m3
ES51;Tarragona;21.891444601177785;PM10;39636;43524;µg/m3
ES70;Telde;28.36362598470145;PM10;35036;52703;µg/m3
ES51;Terrassa;21.891444601177785;PM10;39636;43524;µg/m3
ES30;Torrejon de Ardoz;17.930776579137444;PM10;171676;175559;µg/m3
ES52;Torrevieja;12.980299433297596;PM10;52232;53802;µg/m3
ES52;Valencia;12.980299433297596;PM10;52232;53802;µg/m3
ES41;Valladolid;14.953793144418702;PM10;84165;87840;µg/m3
ES51;Viladecans;21.891444601177785;PM10;39636;43524;µg/m3
ES51;Vilanova i la Geltru;21.891444601177785;PM10;39636;43524;µg/m3
ES41;Zamora;14.953793144418702;PM10;84165;87840;µg/m3
ES24;Zaragoza;12.652107412702712;PM10;43513;44287;µg/m3
FI19;Jyvaskyla;9.458969679554853;PM10;17548;17568;µg/m3
FRJ2;Albi;16.30458419000511;PM10;60076;61248;µg/m3
FRE2;Amiens;15.364810755188271;PM10;39262;43752;µg/m3
FRG0;Angers;15.285715293370828;PM10;42395;43896;µg/m3
FRI3;Angouleme;16.142667992423295;PM10;85270;88393;µg/m3
FRK2;Annecy;17.06808639949114;PM10;205132;215474;µg/m3
FRK2;Annemasse;17.06808639949114;PM10;205132;215474;µg/m3
FRE1;Arras;18.423065968062723;PM10;103954;113352;µg/m3
FRL0;Avignon;19.267866932786635;PM10;86064;87721;µg/m3
FRI1;Bayonne;16.91374374917821;PM10;76231;78864;µg/m3
FRE2;Beauvais;15.364810755188271;PM10;39262;43752;µg/m3
FRC2;Belfort;14.372818241933851;PM10;17188;17520;µg/m3
FRC2;Besancon;14.372818241933851;PM10;17188;17520;µg/m3
FRI1;Bordeaux;16.91374374917821;PM10;76231;78864;µg/m3
FRB0;Bourges;14.267420982561418;PM10;68627;70248;µg/m3
FRH0;Brest;15.852124211501915;PM10;51266;52512;µg/m3
FRD1;Caen;16.04927946530606;PM10;32823;35088;µg/m3
FRE1;Calais;18.423065968062723;PM10;103954;113352;µg/m3
FRK2;Chambery;17.06808639949114;PM10;205132;215474;µg/m3
FRB0;Chartres;14.267420982561418;PM10;68627;70248;µg/m3
FRD1;Cherbourg;16.04927946530606;PM10;32823;35088;µg/m3
FRB0;Chateauroux;14.267420982561418;PM10;68627;70248;µg/m3
FRF1;Colmar;17.2628078962765;PM10;68813;70128;µg/m3
FRE2;Creil;15.364810755188271;PM10;39262;43752;µg/m3
FRE1;Douai;18.423065968062723;PM10;103954;113352;µg/m3
FRE1;Dunkerque;18.423065968062723;PM10;103954;113352;µg/m3
FRD2;Evreux;17.014011750844;PM10;68571;70225;µg/m3
FRL0;Frejus;19.267866932786635;PM10;86064;87721;µg/m3
FRK2;Grenoble;17.06808639949114;PM10;205132;215474;µg/m3
FRI3;La Rochelle;16.142667992423295;PM10;85270;88393;µg/m3
FRD2;Le Havre;17.014011750844;PM10;68571;70225;µg/m3
FRG0;Le Mans;15.285715293370828;PM10;42395;43896;µg/m3
FRE1;Lille;18.423065968062723;PM10;103954;113352;µg/m3
FRI2;Limoges;12.285307614798514;PM10;25925;26352;µg/m3
FRH0;Lorient;15.852124211501915;PM10;51266;52512;µg/m3
FRK2;Lyon;17.06808639949114;PM10;205132;215474;µg/m3
FRL0;Marseille;19.267866932786635;PM10;86064;87721;µg/m3
FR10;Melun;20.347083794555246;PM10;153333;165602;µg/m3
FRF3;Metz;14.782787662379475;PM10;40959;43128;µg/m3
FRJ1;Montpellier;15.33575190284085;PM10;50884;53137;µg/m3
FRF1;Mulhouse;17.2628078962765;PM10;68813;70128;µg/m3
FRF3;Nancy;14.782787662379475;PM10;40959;43128;µg/m3
FRG0;Nantes;15.285715293370828;PM10;42395;43896;µg/m3
FRJ1;Nimes;15.33575190284085;PM10;50884;53137;µg/m3
FRI3;Niort;16.142667992423295;PM10;85270;88393;µg/m3
FRB0;Orleans;14.267420982561418;PM10;68627;70248;µg/m3
FR10;Paris;20.347083794555246;PM10;153333;165602;µg/m3
FRJ1;Perpignan;15.33575190284085;PM10;50884;53137;µg/m3
FRI3;Poitiers;16.142667992423295;PM10;85270;88393;µg/m3
FRH0;Quimper;15.852124211501915;PM10;51266;52512;µg/m3
FRF2;Reims;16.66995857000939;PM10;42002;43800;µg/m3
FRH0;Rennes;15.852124211501915;PM10;51266;52512;µg/m3
FRK2;Roanne;17.06808639949114;PM10;205132;215474;µg/m3
FRD2;Rouen;17.014011750844;PM10;68571;70225;µg/m3
FR10;Saint Denis;20.347083794555246;PM10;153333;165602;µg/m3
FRF1;Strasbourg;17.2628078962765;PM10;68813;70128;µg/m3
FRJ2;Tarbes;16.30458419000511;PM10;60076;61248;µg/m3
FRL0;Toulon;19.267866932786635;PM10;86064;87721;µg/m3
FRJ2;Toulouse;16.30458419000511;PM10;60076;61248;µg/m3
FRB0;Tours;14.267420982561418;PM10;68627;70248;µg/m3
FRF2;Troyes;16.66995857000939;PM10;42002;43800;µg/m3
FRK2;Valence;17.06808639949114;PM10;205132;215474;µg/m3
FRE1;Valenciennes;18.423065968062723;PM10;103954;113352;µg/m3
UKD1;Carlisle;38.648;PM10;1;1;µg/m3
UKG3;Coventry;29.952;PM10;1;1;µg/m3
UKJ2;Eastbourne;47.14999999;PM10;1;1;µg/m3
UKM8;Glasgow;20.200000000000003;PM10;2;2;µg/m3
UKF2;Leicester;22.22299999;PM10;1;1;µg/m3
UKD7;Liverpool;16.558499995;PM10;2;2;µg/m3
UKJ4;Medway;49.276;PM10;1;1;µg/m3
UKL2;Newport;23.375;PM10;1;1;µg/m3
UKD4;Preston;26.6;PM10;1;1;µg/m3
UKH3;Thurrock;45.411;PM10;1;1;µg/m3
UKD7;Wirral;16.558499995;PM10;2;2;µg/m3
UKE2;York;25.12099999;PM10;1;1;µg/m3
EL30;Athina;24.626760690715127;PM10;55305;61487;µg/m3
EL61;Larisa;29.393993040717906;PM10;16381;17566;µg/m3
EL63;Patra;25.422893860066633;PM10;8404;17567;µg/m3
EL52;Thessaloniki;36.51420222092344;PM10;8555;8784;µg/m3
EL61;Volos;29.393993040717906;PM10;16381;17566;µg/m3
HR02;Osijek;35.5425174332735;PM10;8287;8299;µg/m3
HR03;Split;15.531535908342551;PM10;362;362;µg/m3
HR05;Zagreb;25.479143439016386;PM10;732;732;µg/m3
HU11;Budapest;24.965;PM10;1800;1830;µg/m3
HU32;Debrecen;24.945757997218358;PM10;719;732;µg/m3
HU22;Gyor;18.8542673088728;PM10;621;732;µg/m3
HU31;Miskolc;30.4585635359116;PM10;362;366;µg/m3
HU32;Nyiregyhaza;24.945757997218358;PM10;719;732;µg/m3
HU23;Pecs;23.46142857142857;PM10;700;732;µg/m3
HU33;Szeged;23.1267217630854;PM10;363;366;µg/m3
IE05;Cork;13.41594950908777;PM10;1743;1825;µg/m3
IE06;Dublin;12.25964322311796;PM10;3868;4026;µg/m3
IE04;Galway;12.566301366438353;PM10;365;366;µg/m3
IE05;Limerick;13.41594950908777;PM10;1743;1825;µg/m3
IE05;Waterford;13.41594950908777;PM10;1743;1825;µg/m3
IS00;Reykjavik;12.167662190815056;PM10;16281;17568;µg/m3
ITI3;Ancona;23.129016442194356;PM10;31620;35136;µg/m3
ITC1;Asti;28.964250893727655;PM10;3077;3294;µg/m3
ITF3;Avellino;26.507362955819993;PM10;53579;57828;µg/m3
ITF4;Bari;23.146173744091495;PM10;7885;8418;µg/m3
ITF4;Barletta;23.146173744091495;PM10;7885;8418;µg/m3
ITF3;Benevento;26.507362955819993;PM10;53579;57828;µg/m3
ITC4;Bergamo;29.434679170968806;PM10;7766;8052;µg/m3
ITC1;Biella;28.964250893727655;PM10;3077;3294;µg/m3
ITH5;Bologna;27.64741791783534;PM10;6061;6222;µg/m3
ITH1;Bolzano;16.044644524313764;PM10;8552;8784;µg/m3
ITC4;Brescia;29.434679170968806;PM10;7766;8052;µg/m3
ITC4;Busto Arsizio;29.434679170968806;PM10;7766;8052;µg/m3
ITG2;Cagliari;20.848024827349597;PM10;1064;1098;µg/m3
ITF2;Campobasso;15.6;PM10;50;366;µg/m3
ITI1;Carrara;20.689235759172917;PM10;4933;5124;µg/m3
ITF3;Caserta;26.507362955819993;PM10;53579;57828;µg/m3
ITG1;Catania;21.28736145815797;PM10;3176;5066;µg/m3
ITF6;Catanzaro;17.96150367125479;PM10;1769;1830;µg/m3
ITC4;Como;29.434679170968806;PM10;7766;8052;µg/m3
ITF6;Cosenza;17.96150367125479;PM10;1769;1830;µg/m3
ITC4;Cremona;29.434679170968806;PM10;7766;8052;µg/m3
ITH5;Ferrara;27.64741791783534;PM10;6061;6222;µg/m3
ITI1;Firenze;20.689235759172917;PM10;4933;5124;µg/m3
ITF4;Foggia;23.146173744091495;PM10;7885;8418;µg/m3
ITH5;Forli;27.64741791783534;PM10;6061;6222;µg/m3
ITC3;Genova;17.908239229640007;PM10;75717;80520;µg/m3
ITC3;La Spezia;17.908239229640007;PM10;75717;80520;µg/m3
ITI4;Latina;25.350625116626237;PM10;5359;5490;µg/m3
ITF4;Lecce;23.146173744091495;PM10;7885;8418;µg/m3
ITC4;Lecco;29.434679170968806;PM10;7766;8052;µg/m3
ITI1;Livorno;20.689235759172917;PM10;4933;5124;µg/m3
ITI1;Massa;20.689235759172917;PM10;4933;5124;µg/m3
ITG1;Messina;21.28736145815797;PM10;3176;5066;µg/m3
ITC4;Milano;29.434679170968806;PM10;7766;8052;µg/m3
ITH5;Modena;27.64741791783534;PM10;6061;6222;µg/m3
ITF3;Napoli;26.507362955819993;PM10;53579;57828;µg/m3
ITC1;Novara;28.964250893727655;PM10;3077;3294;µg/m3
ITH3;Padova;32.88629413400056;PM10;3597;3660;µg/m3
ITG1;Palermo;21.28736145815797;PM10;3176;5066;µg/m3
ITH5;Parma;27.64741791783534;PM10;6061;6222;µg/m3
ITC4;Pavia;29.434679170968806;PM10;7766;8052;µg/m3
ITI2;Perugia;24.364499288087327;PM10;2107;2196;µg/m3
ITI3;Pesaro;23.129016442194356;PM10;31620;35136;µg/m3
ITF1;Pescara;23.89346224357266;PM10;1086;1098;µg/m3
ITH5;Piacenza;27.64741791783534;PM10;6061;6222;µg/m3
ITI1;Pisa;20.689235759172917;PM10;4933;5124;µg/m3
ITH4;Pordenone;18.797537545106835;PM10;43562;45018;µg/m3
ITF5;Potenza;20.42537911008584;PM10;699;732;µg/m3
ITI1;Prato;20.689235759172917;PM10;4933;5124;µg/m3
ITH5;Ravenna;27.64741791783534;PM10;6061;6222;µg/m3
ITF6;Reggio di Calabria;17.96150367125479;PM10;1769;1830;µg/m3
ITH5;Rimini;27.64741791783534;PM10;6061;6222;µg/m3
ITI4;Roma;25.350625116626237;PM10;5359;5490;µg/m3
ITF3;Salerno;26.507362955819993;PM10;53579;57828;µg/m3
ITC3;Sanremo;17.908239229640007;PM10;75717;80520;µg/m3
ITG2;Sassari;20.848024827349597;PM10;1064;1098;µg/m3
ITC3;Savona;17.908239229640007;PM10;75717;80520;µg/m3
ITG1;Siracusa;21.28736145815797;PM10;3176;5066;µg/m3
ITF4;Taranto;23.146173744091495;PM10;7885;8418;µg/m3
ITI2;Terni;24.364499288087327;PM10;2107;2196;µg/m3
ITC1;Torino;28.964250893727655;PM10;3077;3294;µg/m3
ITH2;Trento;20.030261348005503;PM10;727;732;µg/m3
ITH3;Treviso;32.88629413400056;PM10;3597;3660;µg/m3
ITH4;Trieste;18.797537545106835;PM10;43562;45018;µg/m3
ITH4;Udine;18.797537545106835;PM10;43562;45018;µg/m3
ITC4;Varese;29.434679170968806;PM10;7766;8052;µg/m3
ITH3;Venezia;32.88629413400056;PM10;3597;3660;µg/m3
ITH3;Verona;32.88629413400056;PM10;3597;3660;µg/m3
ITI1;Viareggio;20.689235759172917;PM10;4933;5124;µg/m3
ITH3;Vicenza;32.88629413400056;PM10;3597;3660;µg/m3
ITC4;Vigevano;29.434679170968806;PM10;7766;8052;µg/m3
LT02;Kaunas;20.044391368824783;PM10;59897;61488;µg/m3
LT02;Klaipeda;20.044391368824783;PM10;59897;61488;µg/m3
LT02;Panevezys;20.044391368824783;PM10;59897;61488;µg/m3
LT01;Vilnius;25.086191974349347;PM10;25378;26352;µg/m3
LU00;Luxembourg;17.73144570663803;PM10;17341;17933;µg/m3
LV00;Liepaja;26.603343162546658;PM10;1017;1098;µg/m3
LV00;Riga;26.603343162546658;PM10;1017;1098;µg/m3
MT00;Valletta;34.53852602306852;PM10;365;366;µg/m3
NL32;Amsterdam;17.187567893194515;PM10;69002;70272;µg/m3
NL41;Breda;17.708156477445574;PM10;34803;35136;µg/m3
NL33;Dordrecht;18.68327105326851;PM10;68565;70272;µg/m3
NL41;Eindhoven;17.708156477445574;PM10;34803;35136;µg/m3
NL11;Groningen;19.128118399513976;PM10;8716;8784;µg/m3
NL32;Haarlem;17.187567893194515;PM10;69002;70272;µg/m3
NL42;Heerlen;15.754112578207463;PM10;17303;17568;µg/m3
NL22;Nijmegen;21.035179060117695;PM10;8712;8784;µg/m3
NL33;Rotterdam;18.68327105326851;PM10;68565;70272;µg/m3
NL31;Utrecht;16.42561668846612;PM10;17302;17568;µg/m3
NO0A;Bergen;10.03647071801733;PM10;61320;61488;µg/m3
NO08;Oslo;16.3622101813143;PM10;91883;96624;µg/m3
NO0A;Stavanger;10.03647071801733;PM10;61320;61488;µg/m3
NO07;Tromso;14.149010416104367;PM10;17371;17568;µg/m3
NO06;Trondheim;9.71180054295353;PM10;33586;35057;µg/m3
PL84;Bialystok;26.495746000279848;PM10;27629;27776;µg/m3
PL61;Bydgoszcz;23.40380853491488;PM10;90307;96145;µg/m3
PL81;Chelm;21.92789822431285;PM10;27085;27286;µg/m3
PL22;Czestochowa;28.92927780850887;PM10;27286;27358;µg/m3
PL62;Elblag;17.75377336539807;PM10;26430;26455;µg/m3
PL62;Elk;17.75377336539807;PM10;26430;26455;µg/m3
PL63;Gdansk;18.615845186654983;PM10;43335;43880;µg/m3
PL63;Gdynia;18.615845186654983;PM10;43335;43880;µg/m3
PL51;Glogow;22.780230809780004;PM10;46282;46715;µg/m3
PL41;Gniezno;22.170048754999883;PM10;36278;36874;µg/m3
PL43;Gorzow Wielkopolski;18.882375969737826;PM10;17699;17898;µg/m3
PL61;Grudziadz;23.40380853491488;PM10;90307;96145;µg/m3
PL61;Inowroclaw;23.40380853491488;PM10;90307;96145;µg/m3
PL51;Jelenia Gora;22.780230809780004;PM10;46282;46715;µg/m3
PL41;Kalisz;22.170048754999883;PM10;36278;36874;µg/m3
PL72;Kielce;24.959503032114476;PM10;9427;9434;µg/m3
PL41;Konin;22.170048754999883;PM10;36278;36874;µg/m3
PL42;Koszalin;18.303923260484734;PM10;27483;27701;µg/m3
PL21;Krakow;29.2707984334386;PM10;79807;80593;µg/m3
PL51;Legnica;22.780230809780004;PM10;46282;46715;µg/m3
PL41;Leszno;22.170048754999883;PM10;36278;36874;µg/m3
PL84;Lomza;26.495746000279848;PM10;27629;27776;µg/m3
PL81;Lublin;21.92789822431285;PM10;27085;27286;µg/m3
PL71;Lodz;28.112088353947666;PM10;71595;72234;µg/m3
PL21;Nowy Sacz;29.2707984334386;PM10;79807;80593;µg/m3
PL62;Olsztyn;17.75377336539807;PM10;26430;26455;µg/m3
PL52;Opole;23.15818084962167;PM10;9120;9121;µg/m3
PL41;Ostrow Wielkopolski;22.170048754999883;PM10;36278;36874;µg/m3
PL71;Pabianice;28.112088353947666;PM10;71595;72234;µg/m3
PL41;Pila;22.170048754999883;PM10;36278;36874;µg/m3
PL71;Piotrkow Trybunalski;28.112088353947666;PM10;71595;72234;µg/m3
PL92;Plock;24.457757825579872;PM10;27251;27295;µg/m3
PL41;Poznan;22.170048754999883;PM10;36278;36874;µg/m3
PL82;Przemysl;22.937358393694122;PM10;26759;26881;µg/m3
PL92;Radom;24.457757825579872;PM10;27251;27295;µg/m3
PL22;Rybnik;28.92927780850887;PM10;27286;27358;µg/m3
PL82;Rzeszow;22.937358393694122;PM10;26759;26881;µg/m3
PL92;Siedlce;24.457757825579872;PM10;27251;27295;µg/m3
PL63;Slupsk;18.615845186654983;PM10;43335;43880;µg/m3
PL82;Stalowa Wola;22.937358393694122;PM10;26759;26881;µg/m3
PL84;Suwalki;26.495746000279848;PM10;27629;27776;µg/m3
PL51;Swidnica;22.780230809780004;PM10;46282;46715;µg/m3
PL42;Szczecin;18.303923260484734;PM10;27483;27701;µg/m3
PL21;Tarnow;29.2707984334386;PM10;79807;80593;µg/m3
PL71;Tomaszow Mazowiecki;28.112088353947666;PM10;71595;72234;µg/m3
PL61;Torun;23.40380853491488;PM10;90307;96145;µg/m3
PL51;Walbrzych;22.780230809780004;PM10;46282;46715;µg/m3
PL91;Warszawa;26.43627187325761;PM10;43753;43755;µg/m3
PL61;Wloclawek;23.40380853491488;PM10;90307;96145;µg/m3
PL51;Wroclaw;22.780230809780004;PM10;46282;46715;µg/m3
PL81;Zamosc;21.92789822431285;PM10;27085;27286;µg/m3
PL71;Zgierz;28.112088353947666;PM10;71595;72234;µg/m3
PL43;Zielona Gora;18.882375969737826;PM10;17699;17898;µg/m3
PL22;Zory;28.92927780850887;PM10;27286;27358;µg/m3
PT16;Aveiro;18.470070979051123;PM10;34799;35136;µg/m3
PT16;Coimbra;18.470070979051123;PM10;34799;35136;µg/m3
PT15;Faro;13.632518086484817;PM10;6910;8784;µg/m3
PT30;Funchal;15.819357591341221;PM10;17559;17568;µg/m3
PT11;Guimaraes;14.84023184023184;PM10;31746;43920;µg/m3
PT17;Lisboa;17.609322372218163;PM10;116569;123342;µg/m3
PT11;Paredes;14.84023184023184;PM10;31746;43920;µg/m3
PT11;Porto;14.84023184023184;PM10;31746;43920;µg/m3
PT17;Setubal;17.609322372218163;PM10;116569;123342;µg/m3
PT17;Sintra;17.609322372218163;PM10;116569;123342;µg/m3
RO42;Arad;16.978948861363634;PM10;352;732;µg/m3
RO21;Bacau;23.113589338589346;PM10;638;732;µg/m3
RO22;Braila;22.616376192932968;PM10;941;1464;µg/m3
RO22;Buzau;22.616376192932968;PM10;941;1464;µg/m3
RO22;Constanta;22.616376192932968;PM10;941;1464;µg/m3
RO41;Craiova;24.28976190096825;PM10;630;732;µg/m3
RO21;Iasi;23.113589338589346;PM10;638;732;µg/m3
RO11;Oradea;18.00421828554573;PM10;339;366;µg/m3
RO31;Pitesti;27.217032455285935;PM10;647;732;µg/m3
RO12;Targu Mures;25.055282482457635;PM10;354;366;µg/m3
SE23;Boras;17.762334581139047;PM10;31045;31045;µg/m3
SE23;Goteborg;17.762334581139047;PM10;31045;31045;µg/m3
SE22;Helsingborg;14.306725805837566;PM10;22984;22984;µg/m3
SE21;Jonkoping;12.985714282461107;PM10;707;707;µg/m3
SE12;Linkoping;13.857910499175071;PM10;49782;49782;µg/m3
SE22;Malmo;14.306725805837566;PM10;22984;22984;µg/m3
SE12;Norrkoping;13.857910499175071;PM10;49782;49782;µg/m3
SE11;Stockholm;14.369778087792985;PM10;100672;100672;µg/m3
SE12;Uppsala;13.857910499175071;PM10;49782;49782;µg/m3
SE12;Vasteras;13.857910499175071;PM10;49782;49782;µg/m3
SE12;Orebro;13.857910499175071;PM10;49782;49782;µg/m3
SI04;Ljubljana;20.76320939334638;PM10;1022;1035;µg/m3
SI03;Maribor;21.154545454545456;PM10;440;443;µg/m3
SK03;Banska Bystrica;21.044035408052377;PM10;25976;25976;µg/m3
SK01;Bratislava;20.55912542847054;PM10;34669;34669;µg/m3
SK04;Kosice;25.012801326359696;PM10;26213;26213;µg/m3
SK04;Presov;25.012801326359696;PM10;26213;26213;µg/m3
SK02;Trencin;22.778262145606444;PM10;17393;17393;µg/m3
SK02;Trnava;22.778262145606444;PM10;17393;17393;µg/m3
SK03;Zilina;21.044035408052377;PM10;25976;25976;µg/m3
AT22;Graz;44.681073995396794;O3;32622;34369;µg/m3
AT33;Innsbruck;43.66166104563204;O3;16793;17567;µg/m3
AT21;Klagenfurt;41.69829233434908;O3;14148;14881;µg/m3
AT31;Linz;42.711655733755315;O3;16409;17568;µg/m3
AT32;Salzburg;50.49247334931952;O3;16700;17568;µg/m3
AT13;Wien;56.06434940510921;O3;33342;35137;µg/m3
BE21;Antwerpen;39.767976441631504;O3;11376;17567;µg/m3
BE32;Charleroi;44.64779270633397;O3;8336;8784;µg/m3
BE33;Liege;49.66904591958125;O3;16812;17568;µg/m3
BE35;Namur;46.87431178228724;O3;6357;8784;µg/m3
BG41;Blagoevgrad;38.36155995821891;O3;43219;43219;µg/m3
BG34;Burgas;49.94559220507729;O3;16430;16430;µg/m3
BG42;Plovdiv;47.179675621463325;O3;8632;8632;µg/m3
BG32;Ruse;44.65018067692175;O3;8634;8634;µg/m3
BG33;Shumen;49.68596777644963;O3;16698;16698;µg/m3
BG41;Sofia;38.36155995821891;O3;43219;43219;µg/m3
BG34;Stara Zagora;49.94559220507729;O3;16430;16430;µg/m3
BG33;Varna;49.68596777644963;O3;16698;16698;µg/m3
BG31;Vratsa;50.15112472544981;O3;8322;8322;µg/m3
CH03;Basel;50.41785420117463;O3;17539;17568;µg/m3
CH02;Bern;45.51541479851354;O3;26104;26352;µg/m3
CH01;Geneve;51.364453003209626;O3;35067;35136;µg/m3
CH01;Lausanne;51.364453003209626;O3;35067;35136;µg/m3
CH07;Lugano;54.09726771876606;O3;17520;17568;µg/m3
CH05;St. Gallen;46.30695149117537;O3;8628;8784;µg/m3
CH04;Winterthur;47.21218504983768;O3;69716;70272;µg/m3
CH04;Zurich;47.21218504983768;O3;69716;70272;µg/m3
CY00;Lefkosia;61.69258001867388;O3;17568;17568;µg/m3
CZ06;Brno;46.96064162765542;O3;41488;43834;µg/m3
CZ03;Ceske Budejovice;40.34138112590678;O3;68234;70264;µg/m3
CZ05;Hradec Kralove;53.2543589088329;O3;24903;26349;µg/m3
CZ06;Jihlava;46.96064162765542;O3;41488;43834;µg/m3
CZ08;Karvina;50.44869353377003;O3;33717;34667;µg/m3
CZ02;Kladno;54.954955273592155;O3;8385;8783;µg/m3
CZ05;Liberec;53.2543589088329;O3;24903;26349;µg/m3
CZ04;Most;51.96176821610374;O3;18414;19006;µg/m3
CZ08;Ostrava;50.44869353377003;O3;33717;34667;µg/m3
CZ05;Pardubice;53.2543589088329;O3;24903;26349;µg/m3
CZ03;Plzen;40.34138112590678;O3;68234;70264;µg/m3
CZ01;Praha;49.39731106171413;O3;50057;52698;µg/m3
CZ07;Zlin;46.79782289400997;O3;17041;17566;µg/m3
CZ04;Usti nad Labem;51.96176821610374;O3;18414;19006;µg/m3
DEA2;Aachen;47.855175869734055;O3;33598;35136;µg/m3
