NUTS;City;Average Concentration;Pollutant;Number of Records;Number of Cities;UnitOfMeasurement
ES11;Ferrol;2.0723412716415033;SO2;60292;61488;µg/m3
ES52;Gandia;3.6862471136734665;SO2;67993;70272;µg/m3
ES51;Girona;1.730041458101088;SO2;137247;140544;µg/m3
ES61;Granada;4.1247312677837495;SO2;126520;136320;µg/m3
ES42;Guadalajara;2.746975151980169;SO2;33886;35136;µg/m3
ES61;Jaen;4.1247312677837495;SO2;126520;136320;µg/m3
ES70;Las Palmas;4.323678290213723;SO2;42672;52703;µg/m3
ES41;Leon;3.621955856824006;SO2;60485;61489;µg/m3
ES51;Lleida;1.730041458101088;SO2;137247;140544;µg/m3
ES23;Logrono;3.2141906832536145;SO2;8569;8784;µg/m3
ES11;Lugo;2.0723412716415033;SO2;60292;61488;µg/m3
ES30;Madrid;5.560227547809247;SO2;41310;42360;µg/m3
ES51;Manresa;1.730041458101088;SO2;137247;140544;µg/m3
ES61;Marbella;4.1247312677837495;SO2;126520;136320;µg/m3
ES61;Malaga;4.1247312677837495;SO2;126520;136320;µg/m3
ES11;Ourense;2.0723412716415033;SO2;60292;61488;µg/m3
ES12;Oviedo;6.09083224663935;SO2;42944;43920;µg/m3
ES41;Palencia;3.621955856824006;SO2;60485;61489;µg/m3
ES53;Palma de Mallorca;2.841972557757711;SO2;17054;17568;µg/m3
ES11;Pontevedra;2.0723412716415033;SO2;60292;61488;µg/m3
ES41;Salamanca;3.621955856824006;SO2;60485;61489;µg/m3
ES70;Santa Cruz de Tenerife;4.323678290213723;SO2;42672;52703;µg/m3
ES11;Santiago de Compostela;2.0723412716415033;SO2;60292;61488;µg/m3
ES61;Sevilla;4.1247312677837495;SO2;126520;136320;µg/m3
ES42;Talavera de la Reina;2.746975151980169;SO2;33886;35136;µg/m3
ES51;Tarragona;1.730041458101088;SO2;137247;140544;µg/m3
ES70;Telde;4.323678290213723;SO2;42672;52703;µg/m3
ES51;Terrassa;1.730041458101088;SO2;137247;140544;µg/m3
ES52;Valencia;3.6862471136734665;SO2;67993;70272;µg/m3
ES41;Valladolid;3.621955856824006;SO2;60485;61489;µg/m3
ES51;Viladecans;1.730041458101088;SO2;137247;140544;µg/m3
ES51;Vilanova i la Geltru;1.730041458101088;SO2;137247;140544;µg/m3
ES41;Zamora;3.621955856824006;SO2;60485;61489;µg/m3
ES24;Zaragoza;4.05195601918034;SO2;43614;43920;µg/m3
FRI1;Bordeaux;0.7945345063061633;SO2;8636;8784;µg/m3
FRE1;Calais;1.6060762249437146;SO2;25608;26232;µg/m3
FRE1;Dunkerque;1.6060762249437146;SO2;25608;26232;µg/m3
FRK2;Grenoble;0.6724303877346155;SO2;8727;8784;µg/m3
FRD2;Le Havre;2.112348833215384;SO2;62597;63337;µg/m3
FRL0;Marseille;1.898982760149782;SO2;39912;43752;µg/m3
FRL0;Martigues;1.898982760149782;SO2;39912;43752;µg/m3
FRF3;Nancy;0.9302184315523896;SO2;8561;8784;µg/m3
FR10;Paris;0.8666852709785796;SO2;42999;43872;µg/m3
FRF2;Reims;0.20647515331865954;SO2;8633;8784;µg/m3
FRD2;Rouen;2.112348833215384;SO2;62597;63337;µg/m3
FR10;Saint Denis;0.8666852709785796;SO2;42999;43872;µg/m3
EL30;Athina;7.156530113341729;SO2;26998;35136;µg/m3
EL63;Patra;7.5064674117794805;SO2;7963;8784;µg/m3
EL52;Thessaloniki;2.9277443260768874;SO2;6477;8784;µg/m3
HR02;Osijek;3.4206618357728504;SO2;16498;17566;µg/m3
HR03;Rijeka;2.515069320270154;SO2;15363;17245;µg/m3
HR02;Slavonski Brod;3.4206618357728504;SO2;16498;17566;µg/m3
HR03;Split;2.515069320270154;SO2;15363;17245;µg/m3
HR05;Zagreb;2.2860922706871705;SO2;8193;8783;µg/m3
HU11;Budapest;4.5696185591113005;SO2;43441;43920;µg/m3
HU32;Debrecen;2.915526265803502;SO2;16997;17568;µg/m3
HU22;Gyor;2.423836146133284;SO2;16454;17568;µg/m3
