code;city;NUTS;City;Average Concentration;Pollutant;Number of Records;Number of Cities;UnitOfMeasurement
ITC3;Liguria;ITC3;Genova;17.908239229640007;PM10;75717;80520;µg/m3
ITC3;Liguria;ITC3;La Spezia;17.908239229640007;PM10;75717;80520;µg/m3
ITC3;Liguria;ITC3;Sanremo;17.908239229640007;PM10;75717;80520;µg/m3
ITC3;Liguria;ITC3;Savona;17.908239229640007;PM10;75717;80520;µg/m3
ITC3;Liguria;ITC3;Genova;63.49087187919186;O3;51016;52704;µg/m3
ITC3;Liguria;ITC3;La Spezia;63.49087187919186;O3;51016;52704;µg/m3
ITC3;Liguria;ITC3;Sanremo;63.49087187919186;O3;51016;52704;µg/m3
ITC3;Liguria;ITC3;Savona;63.49087187919186;O3;51016;52704;µg/m3
ITC3;Liguria;ITC3;Genova;23.984995859011384;NO2;142606;149328;µg/m3
ITC3;Liguria;ITC3;La Spezia;23.984995859011384;NO2;142606;149328;µg/m3
ITC3;Liguria;ITC3;Sanremo;23.984995859011384;NO2;142606;149328;µg/m3
ITC3;Liguria;ITC3;Savona;23.984995859011384;NO2;142606;149328;µg/m3
ITC3;Liguria;ITC3;Genova;0.6335420709545359;CO;69002;70272;µg/m3
ITC3;Liguria;ITC3;La Spezia;0.6335420709545359;CO;69002;70272;µg/m3
ITC3;Liguria;ITC3;Sanremo;0.6335420709545359;CO;69002;70272;µg/m3
ITC3;Liguria;ITC3;Savona;0.6335420709545359;CO;69002;70272;µg/m3
CH04;Zürich;CH04;Zurich;0.944763605842468;SO2;26203;26352;µg/m3
CH04;Zürich;CH04;Winterthur;13.30819744850646;PM10;2551;2562;µg/m3
CH04;Zürich;CH04;Zurich;13.30819744850646;PM10;2551;2562;µg/m3
CH04;Zürich;CH04;Winterthur;47.21218504983768;O3;69716;70272;µg/m3
CH04;Zürich;CH04;Zurich;47.21218504983768;O3;69716;70272;µg/m3
CH04;Zürich;CH04;Winterthur;22.39170418279386;NO2;69629;70272;µg/m3
CH04;Zürich;CH04;Zurich;22.39170418279386;NO2;69629;70272;µg/m3
CH04;Zürich;CH04;Zurich;0.2599162825877067;CO;26224;26352;µg/m3
CH04;Zürich;CH04;Winterthur;12.17643958435591;NO;69629;70272;µg/m3
CH04;Zürich;CH04;Zurich;12.17643958435591;NO;69629;70272;µg/m3
DED2;Dresden;DED2;Dresden;1.8179824676263296;SO2;17513;17568;µg/m3
DED2;Dresden;DED2;Gorlitz;1.8179824676263296;SO2;17513;17568;µg/m3
DED2;Dresden;DED2;Dresden;14.757876501229998;PM10;35807;36600;µg/m3
DED2;Dresden;DED2;Gorlitz;14.757876501229998;PM10;35807;36600;µg/m3
DED2;Dresden;DED2;Dresden;44.17042426967065;O3;26259;26352;µg/m3
DED2;Dresden;DED2;Dresden;20.8982507556142;NO2;34906;35136;µg/m3
DED2;Dresden;DED2;Gorlitz;20.8982507556142;NO2;34906;35136;µg/m3
DED2;Dresden;DED2;Dresden;15.15704342799462;NO;34906;35136;µg/m3
DED2;Dresden;DED2;Gorlitz;15.15704342799462;NO;34906;35136;µg/m3
DE91;Braunschweig;DE91;Gottingen;0.2985897494949674;SO2;16494;17568;µg/m3
DE91;Braunschweig;DE91;Wolfsburg;0.2985897494949674;SO2;16494;17568;µg/m3
DE91;Braunschweig;DE91;Braunschweig;13.586477812263206;PM10;52345;52704;µg/m3
DE91;Braunschweig;DE91;Gottingen;13.586477812263206;PM10;52345;52704;µg/m3
DE91;Braunschweig;DE91;Wolfsburg;13.586477812263206;PM10;52345;52704;µg/m3
DE91;Braunschweig;DE91;Braunschweig;52.91801288181952;O3;25309;26352;µg/m3
DE91;Braunschweig;DE91;Gottingen;52.91801288181952;O3;25309;26352;µg/m3
DE91;Braunschweig;DE91;Wolfsburg;52.91801288181952;O3;25309;26352;µg/m3
DE91;Braunschweig;DE91;Braunschweig;17.796714369324118;NO2;50473;52704;µg/m3
DE91;Braunschweig;DE91;Gottingen;17.796714369324118;NO2;50473;52704;µg/m3
DE91;Braunschweig;DE91;Wolfsburg;17.796714369324118;NO2;50473;52704;µg/m3
DE91;Braunschweig;DE91;Braunschweig;0.3219385765474751;CO;25645;26352;µg/m3
DE91;Braunschweig;DE91;Gottingen;0.3219385765474751;CO;25645;26352;µg/m3
DE91;Braunschweig;DE91;Wolfsburg;0.3219385765474751;CO;25645;26352;µg/m3
DE91;Braunschweig;DE91;Braunschweig;9.643907539958692;NO;50557;52704;µg/m3
DE91;Braunschweig;DE91;Gottingen;9.643907539958692;NO;50557;52704;µg/m3
DE91;Braunschweig;DE91;Wolfsburg;9.643907539958692;NO;50557;52704;µg/m3
CH01;Région lémanique;CH01;Geneve;13.810287632943988;PM10;1464;1464;µg/m3
CH01;Région lémanique;CH01;Lausanne;13.810287632943988;PM10;1464;1464;µg/m3
CH01;Région lémanique;CH01;Geneve;51.364453003209626;O3;35067;35136;µg/m3
CH01;Région lémanique;CH01;Lausanne;51.364453003209626;O3;35067;35136;µg/m3
CH01;Région lémanique;CH01;Geneve;22.303111528333943;NO2;35050;35136;µg/m3
CH01;Région lémanique;CH01;Lausanne;22.303111528333943;NO2;35050;35136;µg/m3
CH01;Région lémanique;CH01;Geneve;0.2907940261315741;CO;17511;17568;µg/m3
CH01;Région lémanique;CH01;Lausanne;0.2907940261315741;CO;17511;17568;µg/m3
CH01;Région lémanique;CH01;Geneve;9.009698476702168;NO;35050;35136;µg/m3
CH01;Région lémanique;CH01;Lausanne;9.009698476702168;NO;35050;35136;µg/m3
HU11;Budapest;HU11;Budapest;4.5696185591113005;SO2;43441;43920;µg/m3
HU11;Budapest;HU11;Budapest;24.965;PM10;1800;1830;µg/m3
HU11;Budapest;HU11;Budapest;43.73263706157677;O3;25134;26352;µg/m3
HU11;Budapest;HU11;Budapest;27.494520117268717;NO2;41698;43920;µg/m3
HU11;Budapest;HU11;Budapest;0.53053819257507;CO;42927;43920;µg/m3
DE25;Mittelfranken;DE25;Furth;18.43620701782004;PM10;17421;17568;µg/m3
DE25;Mittelfranken;DE25;Nurnberg;18.43620701782004;PM10;17421;17568;µg/m3
DE25;Mittelfranken;DE25;Erlangen;43.31012653334203;O3;17511;17568;µg/m3
DE25;Mittelfranken;DE25;Nurnberg;43.31012653334203;O3;17511;17568;µg/m3
DE25;Mittelfranken;DE25;Erlangen;24.855440519207573;NO2;35028;35136;µg/m3
DE25;Mittelfranken;DE25;Nurnberg;24.855440519207573;NO2;35028;35136;µg/m3
DE25;Mittelfranken;DE25;Nurnberg;0.3398507347846455;CO;8753;8784;µg/m3
DE25;Mittelfranken;DE25;Erlangen;15.62677505055711;NO;35028;35136;µg/m3
DE25;Mittelfranken;DE25;Nurnberg;15.62677505055711;NO;35028;35136;µg/m3
DE60;Hamburg;DE60;Hamburg;3.4517808057182666;SO2;34855;35136;µg/m3
DE60;Hamburg;DE60;Hamburg;16.642169203923313;PM10;60092;61488;µg/m3
DE60;Hamburg;DE60;Hamburg;47.596296549644194;O3;25911;26352;µg/m3
DE60;Hamburg;DE60;Hamburg;26.475072882948496;NO2;86669;87840;µg/m3
DE60;Hamburg;DE60;Hamburg;0.3280460908285186;CO;17465;17568;µg/m3
DE60;Hamburg;DE60;Hamburg;14.686789565312129;NO;86669;87840;µg/m3
DK01;Hovedstaden;DK01;Kobenhavn;1.1663655606244594;SO2;8119;8784;µg/m3
DK01;Hovedstaden;DK01;Kobenhavn;22.514155298996137;PM10;9137;9882;µg/m3
DK01;Hovedstaden;DK01;Kobenhavn;54.82489927131466;O3;15736;17568;µg/m3
DK01;Hovedstaden;DK01;Kobenhavn;15.776098976366924;NO2;32744;35136;µg/m3
DK01;Hovedstaden;DK01;Kobenhavn;0.2229994378845783;CO;16011;17568;µg/m3
DK01;Hovedstaden;DK01;Kobenhavn;9.351319059379028;NO;25879;26352;µg/m3
DE14;Tübingen;DE14;Friedrichshafen;15.23106822215827;PM10;54749;54900;µg/m3
DE14;Tübingen;DE14;Reutlingen;15.23106822215827;PM10;54749;54900;µg/m3
DE14;Tübingen;DE14;Tubingen;15.23106822215827;PM10;54749;54900;µg/m3
DE14;Tübingen;DE14;Ulm;15.23106822215827;PM10;54749;54900;µg/m3
DE14;Tübingen;DE14;Friedrichshafen;45.97425422914982;O3;33489;35136;µg/m3
DE14;Tübingen;DE14;Reutlingen;45.97425422914982;O3;33489;35136;µg/m3
DE14;Tübingen;DE14;Tubingen;45.97425422914982;O3;33489;35136;µg/m3
DE14;Tübingen;DE14;Ulm;45.97425422914982;O3;33489;35136;µg/m3
DE14;Tübingen;DE14;Friedrichshafen;24.392622915452687;NO2;51660;52719;µg/m3
DE14;Tübingen;DE14;Reutlingen;24.392622915452687;NO2;51660;52719;µg/m3
DE14;Tübingen;DE14;Tubingen;24.392622915452687;NO2;51660;52719;µg/m3
DE14;Tübingen;DE14;Ulm;24.392622915452687;NO2;51660;52719;µg/m3
DE14;Tübingen;DE14;Reutlingen;0.2979008073656259;CO;8670;8784;µg/m3
DE14;Tübingen;DE14;Friedrichshafen;18.34204666201834;NO;51645;52704;µg/m3
DE14;Tübingen;DE14;Reutlingen;18.34204666201834;NO;51645;52704;µg/m3
DE14;Tübingen;DE14;Tubingen;18.34204666201834;NO;51645;52704;µg/m3
DE14;Tübingen;DE14;Ulm;18.34204666201834;NO;51645;52704;µg/m3
BE21;Prov. Antwerpen;BE21;Antwerpen;1.4698356807511737;SO2;8520;8784;µg/m3
BE21;Prov. Antwerpen;BE21;Antwerpen;22.16757432328944;PM10;47999;52703;µg/m3
BE21;Prov. Antwerpen;BE21;Antwerpen;39.767976441631504;O3;11376;17567;µg/m3
BE21;Prov. Antwerpen;BE21;Antwerpen;25.64803800912976;NO2;49567;61936;µg/m3
BE21;Prov. Antwerpen;BE21;Antwerpen;0.2461913117086148;CO;8264;8784;µg/m3
DE27;Schwaben;DE27;Augsburg;15.309237245783828;PM10;34974;35136;µg/m3
DE27;Schwaben;DE27;Augsburg;47.15079526149096;O3;26259;26352;µg/m3
DE27;Schwaben;DE27;Kempten (Allgau);47.15079526149096;O3;26259;26352;µg/m3
DE27;Schwaben;DE27;Augsburg;21.814550630992507;NO2;43792;43920;µg/m3
DE27;Schwaben;DE27;Kempten (Allgau);21.814550630992507;NO2;43792;43920;µg/m3
DE27;Schwaben;DE27;Augsburg;0.2701335252882847;CO;26224;26352;µg/m3
DE27;Schwaben;DE27;Augsburg;9.944492742264138;NO;43792;43920;µg/m3
DE27;Schwaben;DE27;Kempten (Allgau);9.944492742264138;NO;43792;43920;µg/m3
FRF1;Alsace;FRF1;Colmar;17.2628078962765;PM10;68813;70128;µg/m3
FRF1;Alsace;FRF1;Mulhouse;17.2628078962765;PM10;68813;70128;µg/m3
FRF1;Alsace;FRF1;Strasbourg;17.2628078962765;PM10;68813;70128;µg/m3
FRF1;Alsace;FRF1;Colmar;52.01627841925931;O3;43143;43920;µg/m3
FRF1;Alsace;FRF1;Mulhouse;52.01627841925931;O3;43143;43920;µg/m3
FRF1;Alsace;FRF1;Strasbourg;52.01627841925931;O3;43143;43920;µg/m3
FRF1;Alsace;FRF1;Colmar;23.000584370480983;NO2;73583;74954;µg/m3
FRF1;Alsace;FRF1;Mulhouse;23.000584370480983;NO2;73583;74954;µg/m3
FRF1;Alsace;FRF1;Strasbourg;23.000584370480983;NO2;73583;74954;µg/m3
FRF1;Alsace;FRF1;Mulhouse;0.2715559038360623;CO;8613;8784;µg/m3
FRF1;Alsace;FRF1;Colmar;12.960634926930249;NO;73583;74954;µg/m3
FRF1;Alsace;FRF1;Mulhouse;12.960634926930249;NO;73583;74954;µg/m3
FRF1;Alsace;FRF1;Strasbourg;12.960634926930249;NO;73583;74954;µg/m3
AT13;Wien;AT13;Wien;0.6877269069837523;SO2;50039;52704;µg/m3
AT13;Wien;AT13;Wien;16.083596127497355;PM10;115400;115997;µg/m3
AT13;Wien;AT13;Wien;56.06434940510921;O3;33342;35137;µg/m3
AT13;Wien;AT13;Wien;18.47984550447793;NO2;133501;140544;µg/m3
AT13;Wien;AT13;Wien;0.2725846089307055;CO;25110;26352;µg/m3
AT13;Wien;AT13;Wien;1.8988574865884131;NO;33307;35136;µg/m3
DEA4;Detmold;DEA4;Bielefeld;17.08855238763206;PM10;21874;26535;µg/m3
DEA4;Detmold;DEA4;Bielefeld;47.674813103463045;O3;8438;8784;µg/m3
DEA4;Detmold;DEA4;Bielefeld;20.77951625819451;NO2;20908;26422;µg/m3
DEA4;Detmold;DEA4;Paderborn;20.77951625819451;NO2;20908;26422;µg/m3
DEA4;Detmold;DEA4;Bielefeld;11.775867498752604;NO;20838;26352;µg/m3
DEB3;Rheinhessen-Pfalz;DEB3;Kaiserslautern;1.162071765476901;SO2;34966;35136;µg/m3
DEB3;Rheinhessen-Pfalz;DEB3;Ludwigshafen am Rhein;1.162071765476901;SO2;34966;35136;µg/m3
DEB3;Rheinhessen-Pfalz;DEB3;Mainz;1.162071765476901;SO2;34966;35136;µg/m3
DEB3;Rheinhessen-Pfalz;DEB3;Kaiserslautern;16.707322505524182;PM10;50585;53604;µg/m3
DEB3;Rheinhessen-Pfalz;DEB3;Ludwigshafen am Rhein;16.707322505524182;PM10;50585;53604;µg/m3
DEB3;Rheinhessen-Pfalz;DEB3;Mainz;16.707322505524182;PM10;50585;53604;µg/m3
DEB3;Rheinhessen-Pfalz;DEB3;Speyer;16.707322505524182;PM10;50585;53604;µg/m3
DEB3;Rheinhessen-Pfalz;DEB3;Kaiserslautern;45.98653295279455;O3;34962;35136;µg/m3
DEB3;Rheinhessen-Pfalz;DEB3;Ludwigshafen am Rhein;45.98653295279455;O3;34962;35136;µg/m3
DEB3;Rheinhessen-Pfalz;DEB3;Mainz;45.98653295279455;O3;34962;35136;µg/m3
DEB3;Rheinhessen-Pfalz;DEB3;Speyer;45.98653295279455;O3;34962;35136;µg/m3
DEB3;Rheinhessen-Pfalz;DEB3;Frankenthal (Pfalz);24.503267519388107;NO2;79246;79785;µg/m3
DEB3;Rheinhessen-Pfalz;DEB3;Kaiserslautern;24.503267519388107;NO2;79246;79785;µg/m3
DEB3;Rheinhessen-Pfalz;DEB3;Ludwigshafen am Rhein;24.503267519388107;NO2;79246;79785;µg/m3
DEB3;Rheinhessen-Pfalz;DEB3;Mainz;24.503267519388107;NO2;79246;79785;µg/m3
DEB3;Rheinhessen-Pfalz;DEB3;Speyer;24.503267519388107;NO2;79246;79785;µg/m3
DEB3;Rheinhessen-Pfalz;DEB3;Kaiserslautern;0.2752164208954675;CO;61264;61488;µg/m3
DEB3;Rheinhessen-Pfalz;DEB3;Ludwigshafen am Rhein;0.2752164208954675;CO;61264;61488;µg/m3
DEB3;Rheinhessen-Pfalz;DEB3;Mainz;0.2752164208954675;CO;61264;61488;µg/m3
DEB3;Rheinhessen-Pfalz;DEB3;Frankenthal (Pfalz);13.15429768282316;NO;78392;79056;µg/m3
DEB3;Rheinhessen-Pfalz;DEB3;Kaiserslautern;13.15429768282316;NO;78392;79056;µg/m3
DEB3;Rheinhessen-Pfalz;DEB3;Ludwigshafen am Rhein;13.15429768282316;NO;78392;79056;µg/m3
DEB3;Rheinhessen-Pfalz;DEB3;Mainz;13.15429768282316;NO;78392;79056;µg/m3
DEB3;Rheinhessen-Pfalz;DEB3;Speyer;13.15429768282316;NO;78392;79056;µg/m3
NL22;Gelderland;NL22;Nijmegen;21.03517906011769;PM10;8712;8784;µg/m3
NL22;Gelderland;NL22;Nijmegen;50.17560293188965;O3;8583;8784;µg/m3
NL22;Gelderland;NL22;Nijmegen;20.11643220316229;NO2;17487;17568;µg/m3
NL22;Gelderland;NL22;Nijmegen;0.3094287749496643;CO;1192;8784;µg/m3
NL22;Gelderland;NL22;Nijmegen;7.142108420740059;NO;17487;17568;µg/m3
DE92;Hannover;DE92;Hannover;14.23873831489572;PM10;26185;26352;µg/m3
DE92;Hannover;DE92;Hildesheim;14.23873831489572;PM10;26185;26352;µg/m3
DE92;Hannover;DE92;Hannover;51.76017764198446;O3;8431;8784;µg/m3
DE92;Hannover;DE92;Hannover;25.263292518020616;NO2;25384;26477;µg/m3
DE92;Hannover;DE92;Hildesheim;25.263292518020616;NO2;25384;26477;µg/m3
DE92;Hannover;DE92;Hannover;0.3376584165275689;CO;17302;17568;µg/m3
DE92;Hannover;DE92;Hildesheim;0.3376584165275689;CO;17302;17568;µg/m3
DE92;Hannover;DE92;Hannover;17.41455726585296;NO;25263;26352;µg/m3
DE92;Hannover;DE92;Hildesheim;17.41455726585296;NO;25263;26352;µg/m3
ES21;País Vasco;ES21;Bilbao;5.503249202204816;SO2;34470;35088;µg/m3
ES21;País Vasco;ES21;Bilbao;16.451223281580635;PM10;42059;44286;µg/m3
ES21;País Vasco;ES21;Bilbao;46.47044395388766;O3;8154;8736;µg/m3
ES21;País Vasco;ES21;Bilbao;20.36141393346746;NO2;42746;43872;µg/m3
ES21;País Vasco;ES21;Bilbao;0.2348640098676609;CO;25921;26352;µg/m3
ES21;País Vasco;ES21;Bilbao;8.510310727843653;NO;42674;43871;µg/m3
ES70;Canarias;ES70;Arrecife;4.323678290213723;SO2;42672;52703;µg/m3
ES70;Canarias;ES70;Las Palmas;4.323678290213723;SO2;42672;52703;µg/m3
ES70;Canarias;ES70;Santa Cruz de Tenerife;4.323678290213723;SO2;42672;52703;µg/m3
ES70;Canarias;ES70;Telde;4.323678290213723;SO2;42672;52703;µg/m3
ES70;Canarias;ES70;Arrecife;28.36362598470145;PM10;35036;52703;µg/m3
ES70;Canarias;ES70;Las Palmas;28.36362598470145;PM10;35036;52703;µg/m3
ES70;Canarias;ES70;Santa Cruz de Tenerife;28.36362598470145;PM10;35036;52703;µg/m3
ES70;Canarias;ES70;Telde;28.36362598470145;PM10;35036;52703;µg/m3
ES70;Canarias;ES70;Arrecife;61.61411113773499;O3;45907;52704;µg/m3
ES70;Canarias;ES70;Las Palmas;61.61411113773499;O3;45907;52704;µg/m3
ES70;Canarias;ES70;Santa Cruz de Tenerife;61.61411113773499;O3;45907;52704;µg/m3
ES70;Canarias;ES70;Telde;61.61411113773499;O3;45907;52704;µg/m3
ES70;Canarias;ES70;Arrecife;12.851272849613098;NO2;44585;52703;µg/m3
ES70;Canarias;ES70;Las Palmas;12.851272849613098;NO2;44585;52703;µg/m3
ES70;Canarias;ES70;Santa Cruz de Tenerife;12.851272849613098;NO2;44585;52703;µg/m3
ES70;Canarias;ES70;Telde;12.851272849613098;NO2;44585;52703;µg/m3
ES70;Canarias;ES70;Las Palmas;0.3779315238424636;CO;5637;8784;µg/m3
ES70;Canarias;ES70;Arrecife;3.895915046965297;NO;44566;52702;µg/m3
ES70;Canarias;ES70;Las Palmas;3.895915046965297;NO;44566;52702;µg/m3
ES70;Canarias;ES70;Santa Cruz de Tenerife;3.895915046965297;NO;44566;52702;µg/m3
ES70;Canarias;ES70;Telde;3.895915046965297;NO;44566;52702;µg/m3
RO32;Bucuresti - Ilfov;RO32;Bucuresti;5.60069301730641;SO2;8297;8784;µg/m3
RO32;Bucuresti - Ilfov;RO32;Bucuresti;43.85431438120953;O3;8321;8784;µg/m3
RO32;Bucuresti - Ilfov;RO32;Bucuresti;33.45414909896496;NO2;16606;17569;µg/m3
RO32;Bucuresti - Ilfov;RO32;Bucuresti;0.564156648327867;CO;8235;8784;µg/m3
DE13;Freiburg;DE13;Freiburg im Breisgau;13.030068918261367;PM10;27369;27450;µg/m3
DE13;Freiburg;DE13;Konstanz;13.030068918261367;PM10;27369;27450;µg/m3
DE13;Freiburg;DE13;Freiburg im Breisgau;53.81052095447192;O3;16700;17568;µg/m3
DE13;Freiburg;DE13;Konstanz;53.81052095447192;O3;16700;17568;µg/m3
DE13;Freiburg;DE13;Freiburg im Breisgau;20.597532770233517;NO2;25859;26352;µg/m3
DE13;Freiburg;DE13;Konstanz;20.597532770233517;NO2;25859;26352;µg/m3
DE13;Freiburg;DE13;Freiburg im Breisgau;0.2422176070151121;CO;8667;8784;µg/m3
DE13;Freiburg;DE13;Freiburg im Breisgau;12.902631882050612;NO;25837;26352;µg/m3
DE13;Freiburg;DE13;Konstanz;12.902631882050612;NO;25837;26352;µg/m3
SE11;Stockholm;SE11;Stockholm;0.3636363636363636;SO2;11;11;µg/m3
SE11;Stockholm;SE11;Stockholm;14.369778087792984;PM10;100672;100672;µg/m3
SE11;Stockholm;SE11;Stockholm;55.97556394889342;O3;17466;17466;µg/m3
SE11;Stockholm;SE11;Stockholm;16.10272973723071;NO2;107556;107556;µg/m3
SE11;Stockholm;SE11;Stockholm;0.4273972759284246;CO;26211;26211;µg/m3
NL41;Noord-Brabant;NL41;Breda;17.708156477445574;PM10;34803;35136;µg/m3
NL41;Noord-Brabant;NL41;Eindhoven;17.708156477445574;PM10;34803;35136;µg/m3
NL41;Noord-Brabant;NL41;Breda;49.020283025793965;O3;17242;17568;µg/m3
NL41;Noord-Brabant;NL41;Eindhoven;49.020283025793965;O3;17242;17568;µg/m3
NL41;Noord-Brabant;NL41;Breda;19.741960876432444;NO2;34816;35136;µg/m3
NL41;Noord-Brabant;NL41;Eindhoven;19.741960876432444;NO2;34816;35136;µg/m3
NL41;Noord-Brabant;NL41;Breda;7.644136601075629;NO;34816;35136;µg/m3
NL41;Noord-Brabant;NL41;Eindhoven;7.644136601075629;NO;34816;35136;µg/m3
DEA3;Münster;DEA3;Gelsenkirchen;23.39871389787887;PM10;8920;9150;µg/m3
DEA3;Münster;DEA3;Bottrop;26.695806784263446;NO2;16588;17609;µg/m3
DEA3;Münster;DEA3;Gelsenkirchen;26.695806784263446;NO2;16588;17609;µg/m3
DEA3;Münster;DEA3;Recklinghausen;26.695806784263446;NO2;16588;17609;µg/m3
DEA3;Münster;DEA3;Gelsenkirchen;18.47984202322169;NO;16547;17568;µg/m3
DE12;Karlsruhe;DE12;Heidelberg;15.149430413846565;PM10;45506;45750;µg/m3
DE12;Karlsruhe;DE12;Karlsruhe;15.149430413846565;PM10;45506;45750;µg/m3
DE12;Karlsruhe;DE12;Mannheim;15.149430413846565;PM10;45506;45750;µg/m3
DE12;Karlsruhe;DE12;Pforzheim;15.149430413846565;PM10;45506;45750;µg/m3
DE12;Karlsruhe;DE12;Heidelberg;50.37604141411231;O3;25110;26352;µg/m3
DE12;Karlsruhe;DE12;Karlsruhe;50.37604141411231;O3;25110;26352;µg/m3
DE12;Karlsruhe;DE12;Pforzheim;50.37604141411231;O3;25110;26352;µg/m3
DE12;Karlsruhe;DE12;Heidelberg;24.37618881480048;NO2;43089;43966;µg/m3
DE12;Karlsruhe;DE12;Karlsruhe;24.37618881480048;NO2;43089;43966;µg/m3
DE12;Karlsruhe;DE12;Mannheim;24.37618881480048;NO2;43089;43966;µg/m3
DE12;Karlsruhe;DE12;Pforzheim;24.37618881480048;NO2;43089;43966;µg/m3
DE12;Karlsruhe;DE12;Karlsruhe;0.2482573571800141;CO;17330;17568;µg/m3
DE12;Karlsruhe;DE12;Mannheim;0.2482573571800141;CO;17330;17568;µg/m3
DE12;Karlsruhe;DE12;Heidelberg;14.929095170192666;NO;43069;43920;µg/m3
DE12;Karlsruhe;DE12;Karlsruhe;14.929095170192666;NO;43069;43920;µg/m3
DE12;Karlsruhe;DE12;Mannheim;14.929095170192666;NO;43069;43920;µg/m3
DE12;Karlsruhe;DE12;Pforzheim;14.929095170192666;NO;43069;43920;µg/m3
PT17;Área Metropolitana de Lisboa;PT17;Lisboa;0.7568668000696884;SO2;50766;52704;µg/m3
PT17;Área Metropolitana de Lisboa;PT17;Setubal;0.7568668000696884;SO2;50766;52704;µg/m3
PT17;Área Metropolitana de Lisboa;PT17;Sintra;0.7568668000696884;SO2;50766;52704;µg/m3
PT17;Área Metropolitana de Lisboa;PT17;Lisboa;17.609322372218163;PM10;116569;123342;µg/m3
PT17;Área Metropolitana de Lisboa;PT17;Setubal;17.609322372218163;PM10;116569;123342;µg/m3
PT17;Área Metropolitana de Lisboa;PT17;Sintra;17.609322372218163;PM10;116569;123342;µg/m3
PT17;Área Metropolitana de Lisboa;PT17;Lisboa;57.17594012363033;O3;101343;105047;µg/m3
PT17;Área Metropolitana de Lisboa;PT17;Setubal;57.17594012363033;O3;101343;105047;µg/m3
PT17;Área Metropolitana de Lisboa;PT17;Sintra;57.17594012363033;O3;101343;105047;µg/m3
PT17;Área Metropolitana de Lisboa;PT17;Lisboa;19.584407778680436;NO2;140987;149328;µg/m3
PT17;Área Metropolitana de Lisboa;PT17;Setubal;19.584407778680436;NO2;140987;149328;µg/m3
PT17;Área Metropolitana de Lisboa;PT17;Sintra;19.584407778680436;NO2;140987;149328;µg/m3
PT17;Área Metropolitana de Lisboa;PT17;Lisboa;0.2399078923448697;CO;61287;70272;µg/m3
PT17;Área Metropolitana de Lisboa;PT17;Setubal;0.2399078923448697;CO;61287;70272;µg/m3
PT17;Área Metropolitana de Lisboa;PT17;Lisboa;8.96180399324172;NO;140987;149328;µg/m3
PT17;Área Metropolitana de Lisboa;PT17;Setubal;8.96180399324172;NO;140987;149328;µg/m3
PT17;Área Metropolitana de Lisboa;PT17;Sintra;8.96180399324172;NO;140987;149328;µg/m3
NL32;Noord-Holland;NL32;Amsterdam;0.2808451678189573;SO2;8661;8784;µg/m3
NL32;Noord-Holland;NL32;Amsterdam;17.187567893194515;PM10;69002;70272;µg/m3
NL32;Noord-Holland;NL32;Haarlem;17.187567893194515;PM10;69002;70272;µg/m3
NL32;Noord-Holland;NL32;Amsterdam;48.34675803183331;O3;34658;35136;µg/m3
NL32;Noord-Holland;NL32;Haarlem;48.34675803183331;O3;34658;35136;µg/m3
NL32;Noord-Holland;NL32;Amsterdam;22.111767722517943;NO2;103421;105408;µg/m3
NL32;Noord-Holland;NL32;Haarlem;22.111767722517943;NO2;103421;105408;µg/m3
NL32;Noord-Holland;NL32;Amsterdam;0.3506645420480769;CO;26000;26352;µg/m3
NL32;Noord-Holland;NL32;Amsterdam;8.596723647336015;NO;103423;105408;µg/m3
NL32;Noord-Holland;NL32;Haarlem;8.596723647336015;NO;103423;105408;µg/m3
PL91;Warszawski stoleczny;PL91;Warszawa;2.813277235836414;SO2;8692;8741;µg/m3
PL91;Warszawski stoleczny;PL91;Warszawa;26.43627187325761;PM10;43753;43755;µg/m3
PL91;Warszawski stoleczny;PL91;Warszawa;41.098436022804805;O3;34605;34977;µg/m3
PL91;Warszawski stoleczny;PL91;Warszawa;24.947806278083377;NO2;34359;34837;µg/m3
PL91;Warszawski stoleczny;PL91;Warszawa;0.5184705884767457;CO;8751;8782;µg/m3
PL91;Warszawski stoleczny;PL91;Warszawa;12.794623240099805;NO;34359;34885;µg/m3
DEA5;Arnsberg;DEA5;Dortmund;18.64844508709889;PM10;26143;26533;µg/m3
DEA5;Arnsberg;DEA5;Hagen;18.64844508709889;PM10;26143;26533;µg/m3
DEA5;Arnsberg;DEA5;Dortmund;47.5199134497421;O3;8377;8784;µg/m3
DEA5;Arnsberg;DEA5;Bochum;31.221447418835098;NO2;25258;26459;µg/m3
DEA5;Arnsberg;DEA5;Dortmund;31.221447418835098;NO2;25258;26459;µg/m3
DEA5;Arnsberg;DEA5;Hagen;31.221447418835098;NO2;25258;26459;µg/m3
DEA5;Arnsberg;DEA5;Herne;31.221447418835098;NO2;25258;26459;µg/m3
DEA5;Arnsberg;DEA5;Siegen;31.221447418835098;NO2;25258;26459;µg/m3
DEA5;Arnsberg;DEA5;Witten;31.221447418835098;NO2;25258;26459;µg/m3
DEA5;Arnsberg;DEA5;Dortmund;24.55627740140084;NO;25151;26352;µg/m3
DEA5;Arnsberg;DEA5;Hagen;24.55627740140084;NO;25151;26352;µg/m3
DE30;Berlin;DE30;Berlin;1.2073695757770406;SO2;3642;8784;µg/m3
DE30;Berlin;DE30;Berlin;18.921961392152323;PM10;85327;87840;µg/m3
